id,name,city,country,extra_information,website,active_from,active_till,created_at,updated_at
1,"Maarschalkerweerd & Zoon",NULL,NULL,NULL,NULL,1860-01-01,1902-12-31,"2020-11-04 23:58:49","2020-11-23 17:42:18"
2,"Johannes Duyschot",NULL,Nederland,NULL,NULL,NULL,NULL,"2020-11-05 22:13:52","2020-11-05 22:13:52"
3,"Jan Christoffel Smit",NULL,NULL,NULL,NULL,NULL,NULL,"2020-11-07 15:50:13","2020-11-07 15:50:13"
4,"Gerrit Heyneman",NULL,NULL,NULL,NULL,NULL,NULL,"2020-11-07 15:53:35","2020-11-07 15:53:35"
5,"Flaes & Brünjes",NULL,NULL,NULL,NULL,NULL,NULL,"2020-11-07 17:11:45","2020-11-07 17:11:45"
6,"Daniel Gerard Steenkuyl",NULL,NULL,NULL,NULL,1838-10-10,1921-01-01,"2020-11-07 17:29:35","2020-11-07 17:29:35"
7,"P.J. Adema & Zonen",NULL,NULL,NULL,NULL,NULL,NULL,"2020-11-07 17:42:21","2020-11-07 17:42:21"
8,"Flentrop Orgelbouw",info@flentrop.nl,Nederland,NULL,NULL,1903-01-01,NULL,"2020-11-07 17:47:43","2020-11-07 17:47:43"
9,"Theo Strunk",NULL,NULL,NULL,NULL,NULL,NULL,"2020-11-09 14:45:42","2020-11-09 14:45:42"
10,"Orgelmakerij Apostolisch Genootschap",NULL,NULL,"<p>De werkplaats Con Amore wordt gerund door vrijwilligers onder leiding van Edwin Stuivenberg.</p>",NULL,NULL,NULL,"2020-11-09 15:11:39","2021-01-08 22:16:13"
11,"Pieter Flaes",NULL,Nederland,NULL,NULL,NULL,NULL,"2020-11-20 10:50:40","2020-11-20 10:50:40"
12,"Johan Frederik Kruse",NULL,Nederland,"<p><span style="color: #202122; font-family: sans-serif; font-size: 14px; background-color: #ffffff;">Johan Frederik Kruse was de zoon van Johannes Frederikus Kruse en Elizabeth Hartwigsen. Hij trouwde op 20 juni 1878 te Leeuwarden met Sophia Maria Hardorff.</span><sup id="cite_ref-1" class="reference" style="line-height: 1; unicode-bidi: isolate; white-space: nowrap; color: #202122; font-family: sans-serif; background-color: #ffffff;"></sup><span style="color: #202122; font-family: sans-serif; font-size: 14px; background-color: #ffffff;">&nbsp;In 1880 kocht hij de orgelmakerij van zijn schoonvader&nbsp;</span><a style="color: #faa700; background: none #ffffff; outline-color: #3366cc; font-family: sans-serif; font-size: 14px;" title="" href="https://nl.wikipedia.org/wiki/Willem_Hardorff">Willem Hardorff</a><span style="color: #202122; font-family: sans-serif; font-size: 14px; background-color: #ffffff;">.</span></p>",NULL,1848-04-09,1907-10-05,"2020-11-20 10:56:11","2020-11-20 10:56:11"
13,"Johan Fredrik Kruse",NULL,Nederland,"<p><span style="color: #202122; font-family: sans-serif; font-size: 14px; background-color: #ffffff;">Johan Frederik Kruse was de zoon van Johannes Frederikus Kruse en Elizabeth Hartwigsen. Hij trouwde op 20 juni 1878 te Leeuwarden met Sophia Maria Hardorff.</span><sup id="cite_ref-1" class="reference" style="line-height: 1; unicode-bidi: isolate; white-space: nowrap; color: #202122; font-family: sans-serif; background-color: #ffffff;"><a style="text-decoration-line: none; color: #0b0080; background: none;" href="https://nl.wikipedia.org/wiki/Johan_Frederik_Kruse#cite_note-1">[1]</a></sup><span style="color: #202122; font-family: sans-serif; font-size: 14px; background-color: #ffffff;">&nbsp;In 1880 kocht hij de orgelmakerij van zijn schoonvader&nbsp;</span><a style="color: #faa700; background: none #ffffff; outline-color: #3366cc; font-family: sans-serif; font-size: 14px;" title="" href="https://nl.wikipedia.org/wiki/Willem_Hardorff">Willem Hardorff</a><span style="color: #202122; font-family: sans-serif; font-size: 14px; background-color: #ffffff;">.</span></p>",NULL,1848-04-09,1907-10-05,"2020-11-20 10:58:00","2020-11-20 10:58:00"
14,"W. van Dijk",NULL,NULL,NULL,NULL,NULL,NULL,"2020-11-20 21:19:34","2020-11-20 21:19:34"
15,"Gebroeders Hasselaar",NULL,NULL,NULL,NULL,NULL,NULL,"2020-11-20 21:25:00","2020-11-20 21:25:00"
16,"Hendrik Wicher Flentrop",NULL,Nederland,<p>&nbsp;(1866-1950)</p>,NULL,1903-06-20,1940-06-01,"2020-11-20 21:34:01","2020-11-23 16:50:27"
17,"Dirk Andries Flentrop",NULL,Nederland,<p>&nbsp;(1910-2003)</p>,NULL,1940-06-01,1976-01-01,"2020-11-20 21:45:20","2020-11-23 16:50:44"
18,"Johannes Pieter Künckel",NULL,Nederland,NULL,NULL,NULL,NULL,"2020-11-23 17:27:05","2020-11-23 17:27:05"
19,"Johannes Stephanus Strumphler",NULL,Nederland,NULL,NULL,NULL,NULL,"2020-11-23 22:38:29","2020-11-23 22:38:29"
20,"Hermanus Knipscheer (III)",NULL,Nederland,NULL,NULL,NULL,NULL,"2020-11-23 22:55:47","2020-12-18 13:06:59"
21,"L. van Dam en Zonen",NULL,Nederland,NULL,NULL,NULL,NULL,"2020-11-23 23:01:24","2020-11-23 23:01:24"
22,"Christian Müller",NULL,Nederland,NULL,NULL,NULL,NULL,"2020-11-30 22:58:48","2020-11-30 22:58:48"
23,"Maarschalkerweeerd & Zn",NULL,Nederland,NULL,NULL,NULL,NULL,"2020-11-30 23:21:28","2020-11-30 23:21:28"
24,"S. de Wit & Zn.",NULL,Nederland,NULL,NULL,1940-01-01,NULL,"2020-11-30 23:53:01","2020-11-30 23:53:01"
25,"Jan Bruin",NULL,Nederland,NULL,NULL,NULL,NULL,"2020-12-01 10:44:08","2020-12-01 10:44:08"
26,Onbekend,NULL,NULL,NULL,NULL,NULL,NULL,"2020-12-01 13:02:23","2020-12-01 13:02:23"
27,"N.A. Lohman en Zonen",NULL,Nederland,NULL,NULL,NULL,NULL,"2020-12-01 14:18:31","2020-12-01 14:18:31"
28,"B. Helmig",NULL,Nederland,<p>Kampen</p>,NULL,NULL,NULL,"2020-12-01 14:42:05","2020-12-01 14:42:05"
29,"Hans van Rossum",NULL,Nederland,NULL,NULL,NULL,NULL,"2020-12-01 14:44:10","2020-12-01 14:44:10"
30,"Johannes Mitterreither",NULL,Nederland,"<p>Johannes Josephus Mitterreither (Graz, 1733 - 1800) was een Oostenrijkse orgelbouwer die in Nederland woonde en werkte.<br />Hij stamde uit een geslacht van orgelbouwers. Hij trad omstreeks 1755 in dienst bij de Rotterdamse orgelbouwer Moreau en vestigde zich in 1761 in Gouda. In 1766 kwam hij te werken bij Hermanus Hess. In 1769 kwam hij met zijn gezin naar Leiden. Ondanks een schat aan archiefmateriaal zijn niet alle feiten over hem bekend.</p>",NULL,1733-01-01,1800-01-01,"2020-12-01 22:48:28","2020-12-01 23:33:19"
31,"F.L. Ypma & Co",NULL,Nederland,NULL,NULL,NULL,NULL,"2020-12-01 22:59:19","2020-12-01 22:59:19"
32,"Jos. Vermeulen",NULL,Nederland,NULL,NULL,NULL,NULL,"2020-12-01 23:08:11","2020-12-01 23:08:11"
